Tipo de orçamento;Tipo de alguma coisa;Itens;Discriminação;Unidades;Quant;Vl unit;Vl total;Observações;Anexo;Status 
Orçamento detalhado de Custeio;Serviços de Terceiros - PJ;1;Camisas sublimadas para a equipe;un;30;61,00;1830,00;Necessário para o fortalecimento da identidade visual e do sentimento de pertencimento da equipe;Sim;CANCELADO 
Orçamento detalhado de Custeio;Serviços de Terceiros - PF;;;;0;0,00;0,00;;;
Orçamento detalhado de Custeio;Material de Consumo Nacional;28;Resina 3D Flexível;und;10;161,91;1619,10;Serão usados para o alcance dos OE 1, 2 ,3, 4 e 6 (prototipagem dos robos de combate );Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;34;3M, Abafador de Som e Ruído, 1 unidade - Vermelho;und;10;59,90;599,00;"Serão usados para o alcance dos OE 1, 2 ,3, 4,
5 e 6 ( EPI)";Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;69;"Aspirador de Pó Vertical e Portátil de Mão 2 em 1 WAP HIGH SPEED
1000W 1,2 litros Filtro HEPA 127V";und;1;169,90;169,90;Utilizado para a manutenção da limpeza do ambiente de trabalho;Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;96;Balança digital de precisão 1g a 2kg;und;1;57,00;57,00;Utilizada para aferir o enquadramento nas categorias;Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;38;"Bastões de Cola Quente Branco (Supramelt 1101) - Grosso
11,5mm x 30 cm (500gr)";und;10;45,99;459,90;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 (para fixação estrutural);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;76;Borracha De Silicone Preta Rígida para Pneus Miniatura Com Catalisador (1,050 Kg);und;3;70,00;210,00;"Servirão para o alcance dos OE 1, 2 ,3, 4 e 6 (
produção das rodas dos robôs de combate)";Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;56;"Broca De Passo Amoolo Titanium (15 Passos), 3/16 A 1-1/4 (1,25
Polegada) Aço De Alta Velocidade (hss";und;1;176,00;176,00;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 ( para contrução e acabamento dos robôs);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;63;Cantoneira Zamak Aluminio 40x40;und;50;6,30;315,00;Serão utilizados para o alcance do OE 5( para a construção da arena de combate);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;29;"Carregador de Pilhas Recarregáveis AA e AAA DURACELL
Com 4 Pilhas AA";und;5;179,99;899,95;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 (para recarregar as pilhas);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;16;Carregador Imax B6 80W + Fonte 12V 6A;und;5;299,99;1499,95;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 (para recarregar as baterias);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;77;Cartão de Memória SanDisk Micro SD, 64Gb;und;3;59,90;179,70;"Auxiliarão no alcance dos OE 1, 2 ,3, 4, e 6 ( para
armazenamento e envio de informações)";Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;55;Chapa Aluminio 20cm X 80cm X 1/4 (6,35mm);und;5;310,00;1550,00;Serão utilizados para o alcance do OE 5( para a construção da arena de combate);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;61;Chapa de Policarbonato Elastobor Cristal 6MM X 1M X 2M;und;7;829,90;5809,30;Serão utilizados para o alcance do OE 5( para a construção da arena de combate);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;97;"Chapa Pead Branco 20 mm X 300 mm X
300 mm Para Cnc Router";und;15;115,80;1737,00;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 ( Estrutura definitiva dos robôs de combate);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;65;"Conector Rápido 90° P/
Perfis Base 30";und;150;18,00;2700,00;Serão utilizados para o alcance do OE 5( para a construção da arena de combate);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;83;Desengripante Spray White Lub Super 300ml - ORBI- O3;und;3;11,00;33,00;Serão usados para o alcance dos OE 1, 2 ,3, 4, 5 e 6 ( para lubrificar os robôs e a arena);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;7;Dino V2 - Dual Motor ESC;und;20;99,00;1980,00;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 (placa controladora dos motores);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;64;Dobradiça em Zamak 50x50mm - 30mm entre Centro;und;10;17,25;172,50;Serão utilizados para o alcance do OE 5( para a construção da arena de combate);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;53;"Domary Peças da impressora 3D Bicos de liga de titânio 3pcs TC4 0,2/0,3/0,4/0,5
mm Bico extrusor M6";und;1;69,99;69,99;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 ( para impressão 3d com tritan);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;12;ESC 30A para Motor Brushless Aeromodelos;und;20;43,00;860,00;"Auxiliarão no alcance dos OE 1, 2 ,3, 4, e 6 ( para
controle dos motores dos robôs)";Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;58;Esquadro de Metal 90 graus 8 Pol - VONDEr;und;1;37,18;37,18;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 ( para contrução e acabamento dos robôs);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;94;"Estanho Em Fio, Com 500 G Vonder 1 Mm,
40 X 60";und;2;132,05;264,10;"Serão usados para o alcance dos OE 1, 2 ,3, 4 e
6 (soldagem dos componentes eletrônicos)";Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;102;Estilete Trapezoidal Retrátil Standard;und;4;59,00;236,00;serão usados para o alcance dos OE 1, 2 ,3, 4 e 6 (para correção de falhas e acabamento estrutural);Sim;
