Tipo de orçamento;Tipo de alguma coisa;Itens;Discriminação;Unidades;Quant;Vl unit;Vl total;Observações;Anexo;Status 
Orçamento detalhado de Custeio;Serviços de Terceiros - PJ;1;Camisas sublimadas para a equipe;un;30;61;R$ 1.830,00;Necessário para o fortalecimento da identidade visual e do sentimento de pertencimento da equipe;Sim;CANCELADO 
Orçamento detalhado de Custeio;Serviços de Terceiros - PF;;;;0;  0.00;  0.00;;;
Orçamento detalhado de Custeio;Material de Consumo Nacional;28;Resina 3D Flexível;und;10;R$ 161,91;R$ 1.619,10;Serão usados para o alcance dos OE 1, 2 ,3, 4 e 6 (prototipagem dos robos de combate );Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;34;3M, Abafador de Som e Ruído, 1 unidade - Vermelho;und;10;R$ 59,90;R$ 599,00;"Serão usados para o alcance dos OE 1, 2 ,3, 4,
5 e 6 ( EPI)";Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;69;"Aspirador de Pó Vertical e Portátil de Mão 2 em 1 WAP HIGH SPEED
1000W 1,2 litros Filtro HEPA 127V";und;1;R$ 169,90;R$ 169,90;Utilizado para a manutenção da limpeza do ambiente de trabalho;Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;96;Balança digital de precisão 1g a 2kg;und;1;R$ 57,00;R$ 57,00;Utilizada para aferir o enquadramento nas categorias;Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;38;"Bastões de Cola Quente Branco (Supramelt 1101) - Grosso
11,5mm x 30 cm (500gr)";und;10;R$ 45,99;R$ 459,90;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 (para fixação estrutural);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;76;Borracha De Silicone Preta Rígida para Pneus Miniatura Com Catalisador (1,050 Kg);und;3;R$ 70,00;R$ 210,00;"Servirão para o alcance dos OE 1, 2 ,3, 4 e 6 (
produção das rodas dos robôs de combate)";Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;56;"Broca De Passo Amoolo Titanium (15 Passos), 3/16 A 1-1/4 (1,25
Polegada) Aço De Alta Velocidade (hss";und;1;R$ 176,00;R$ 176,00;Serão usados para o alcance dos OE 1, 2 ,3, 4, e 6 ( para contrução e acabamento dos robôs);Sim;
Orçamento detalhado de Custeio;Material de Consumo Nacional;63;Cantoneira Zamak Aluminio 40x40;und;50;R$ 6,30;R$ 315,00;Serão utilizados para o alcance do OE 5( para a construção da arena de combate);Sim;
